id,ability_id,version_group_id,flavor_text
1,1,5,Helps repel wild POKéMON.
2,1,6,Helps repel wild POKéMON.
3,1,7,Helps repel wild POKéMON.
4,1,8,"The stench helps keep
wild Pokémon away."
5,1,9,"The stench helps keep
wild Pokémon away."
6,1,10,"The stench helps keep
wild Pokémon away."
7,1,11,"The stench may cause
the target to flinch."
8,1,14,"The stench may cause
the target to flinch."
9,1,15,"The stench may cause
the target to flinch."
10,1,16,"The stench may cause
the target to flinch."
11,1,17,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
12,1,18,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
13,2,5,Summons rain in battle.
14,2,6,Summons rain in battle.
15,2,7,Summons rain in battle.
16,2,8,"The Pokémon makes it rain
if it appears in battle."
17,2,9,"The Pokémon makes it rain
if it appears in battle."
18,2,10,"The Pokémon makes it rain
if it appears in battle."
19,2,11,"The Pokémon makes it rain
if it appears in battle."
20,2,14,"The Pokémon makes it rain
if it appears in battle."
21,2,15,"The Pokémon makes it rain
when it enters a battle."
22,2,16,"The Pokémon makes it rain
when it enters a battle."
23,2,17,The Pokémon makes it rain when it enters a battle.
24,2,18,The Pokémon makes it rain when it enters a battle.
25,3,5,Gradually boosts SPEED.
26,3,6,Gradually boosts SPEED.
27,3,7,Gradually boosts SPEED.
28,3,8,"The Pokémon’s Speed stat
is gradually boosted."
29,3,9,"The Pokémon’s Speed stat
is gradually boosted."
30,3,10,"Its Speed stat is
gradually boosted."
31,3,11,"Its Speed stat is
gradually boosted."
32,3,14,"Its Speed stat is
gradually boosted."
33,3,15,"Its Speed stat is
gradually boosted."
34,3,16,"Its Speed stat is
gradually boosted."
35,3,17,Its Speed stat is boosted every turn.
36,3,18,Its Speed stat is boosted every turn.
37,4,5,Blocks critical hits.
38,4,6,Blocks critical hits.
39,4,7,Blocks critical hits.
40,4,8,"The Pokémon is protected
against critical hits."
41,4,9,"The Pokémon is protected
against critical hits."
42,4,10,"The Pokémon is protected
against critical hits."
43,4,11,"The Pokémon is protected
against critical hits."
44,4,14,"The Pokémon is protected
against critical hits."
45,4,15,"Protects the Pokémon
from critical hits."
46,4,16,"Protects the Pokémon
from critical hits."
47,4,17,Hard armor protects the Pokémon from critical hits.
48,4,18,Hard armor protects the Pokémon from critical hits.
49,5,5,Negates 1-hit KO attacks.
50,5,6,Negates 1-hit KO attacks.
51,5,7,Negates 1-hit KO attacks.
52,5,8,"The Pokémon is protected
against 1-hit KO attacks."
53,5,9,"The Pokémon is protected
against 1-hit KO attacks."
54,5,10,"It is protected against
1-hit KO attacks."
55,5,11,"It cannot be knocked
out with one hit."
56,5,14,"It cannot be knocked
out with one hit."
57,5,15,"It cannot be knocked
out with one hit."
58,5,16,"It cannot be knocked
out with one hit."
59,5,17,"It cannot be knocked out with one hit. One-hit KO
moves cannot knock it out, either."
60,5,18,"It cannot be knocked out with one hit. One-hit KO
moves cannot knock it out, either."
61,6,5,Prevents self-destruction.
62,6,6,Prevents self-destruction.
63,6,7,Prevents self-destruction.
64,6,8,"Prevents combatants from
self destructing."
65,6,9,"Prevents combatants from
self destructing."
66,6,10,"Prevents combatants
from self-destructing."
67,6,11,"Prevents the use of
self-destructing moves."
68,6,14,"Prevents the use of
self-destructing moves."
69,6,15,"Prevents the use of
self-destructing moves."
70,6,16,"Prevents the use of
self-destructing moves."
71,6,17,"Prevents the use of explosive moves such as
Self-Destruct by dampening its surroundings."
72,6,18,"Prevents the use of explosive moves such as
Self-Destruct by dampening its surroundings."
73,7,5,Prevents paralysis.
74,7,6,Prevents paralysis.
75,7,7,Prevents paralysis.
76,7,8,"The Pokémon is protected
from paralysis."
77,7,9,"The Pokémon is protected
from paralysis."
78,7,10,"The Pokémon is protected
from paralysis."
79,7,11,"The Pokémon is protected
from paralysis."
80,7,14,"The Pokémon is protected
from paralysis."
81,7,15,"Protects the Pokémon
from paralysis."
82,7,16,"Protects the Pokémon
from paralysis."
83,7,17,Its limber body protects the Pokémon from paralysis.
84,7,18,Its limber body protects the Pokémon from paralysis.
85,8,5,Ups evasion in a sandstorm.
86,8,6,Ups evasion in a sandstorm.
87,8,7,Ups evasion in a sandstorm.
88,8,8,"Boosts the Pokémon’s
evasion in a sandstorm."
89,8,9,"Boosts the Pokémon’s
evasion in a sandstorm."
90,8,10,"Boosts the Pokémon’s
evasion in a sandstorm."
91,8,11,"Boosts the Pokémon’s
evasion in a sandstorm."
92,8,14,"Boosts the Pokémon’s
evasion in a sandstorm."
93,8,15,"Boosts the Pokémon’s
evasion in a sandstorm."
94,8,16,"Boosts the Pokémon’s
evasion in a sandstorm."
95,8,17,Boosts the Pokémon’s evasion in a sandstorm.
96,8,18,Boosts the Pokémon’s evasion in a sandstorm.
97,9,5,Paralyzes on contact.
98,9,6,Paralyzes on contact.
99,9,7,Paralyzes on contact.
100,9,8,"Contact with the Pokémon
may cause paralysis."
101,9,9,"Contact with the Pokémon
may cause paralysis."
102,9,10,"Contact with the Pokémon
may cause paralysis."
103,9,11,"Contact with the Pokémon
may cause paralysis."
104,9,14,"Contact with the Pokémon
may cause paralysis."
105,9,15,"Contact with the Pokémon
may cause paralysis."
106,9,16,"Contact with the Pokémon
may cause paralysis."
107,9,17,"The Pokémon is charged with static electricity, so
contact with it may cause paralysis."
108,9,18,"The Pokémon is charged with static electricity, so
contact with it may cause paralysis."
109,10,5,Turns electricity into HP.
110,10,6,Turns electricity into HP.
111,10,7,Turns electricity into HP.
112,10,8,"Restores HP if hit by an
Electric-type move."
113,10,9,"Restores HP if hit by an
Electric-type move."
114,10,10,"Restores HP if hit by an
Electric-type move."
115,10,11,"Restores HP if hit by an
Electric-type move."
116,10,14,"Restores HP if hit by an
Electric-type move."
117,10,15,"Restores HP if hit by an
Electric-type move."
118,10,16,"Restores HP if hit by an
Electric-type move."
119,10,17,"Restores HP if hit by an Electric-type move, instead
of taking damage."
120,10,18,"Restores HP if hit by an Electric-type move, instead
of taking damage."
121,11,5,Changes water into HP.
122,11,6,Changes water into HP.
123,11,7,Changes water into HP.
124,11,8,"Restores HP if hit by a
Water-type move."
125,11,9,"Restores HP if hit by a
Water-type move."
126,11,10,"Restores HP if hit by a
Water-type move."
127,11,11,"Restores HP if hit by a
Water-type move."
128,11,14,"Restores HP if hit by a
Water-type move."
129,11,15,"Restores HP if hit by a
Water-type move."
130,11,16,"Restores HP if hit by a
Water-type move."
131,11,17,"Restores HP if hit by a Water-type move, instead of
taking damage."
132,11,18,"Restores HP if hit by a Water-type move, instead of
taking damage."
133,12,5,Prevents attraction.
134,12,6,Prevents attraction.
135,12,7,Prevents attraction.
136,12,8,"Prevents the Pokémon
from becoming infatuated."
137,12,9,"Prevents the Pokémon
from becoming infatuated."
138,12,10,"Prevents it from
becoming infatuated."
139,12,11,"Prevents it from
becoming infatuated."
140,12,14,"Prevents it from
becoming infatuated."
