id,identifier,name,category_id,cost,short_effect
1,master-ball,Master Ball,34,0,Catches a wild Pokémon every time.
2,ultra-ball,Ultra Ball,34,800,Tries to catch a wild Pokémon.  Success rate is 2×.
3,great-ball,Great Ball,34,600,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,poke-ball,Poké Ball,34,200,Tries to catch a wild Pokémon.
5,safari-ball,Safari Ball,34,0,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,net-ball,Net Ball,33,1000,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,dive-ball,Dive Ball,33,1000,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,nest-ball,Nest Ball,33,1000,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,repeat-ball,Repeat Ball,33,1000,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,timer-ball,Timer Ball,33,1000,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,luxury-ball,Luxury Ball,33,1000,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,premier-ball,Premier Ball,33,20,Tries to catch a wild Pokémon.
13,dusk-ball,Dusk Ball,33,1000,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,heal-ball,Heal Ball,33,300,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,quick-ball,Quick Ball,33,1000,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,cherish-ball,Cherish Ball,33,0,Tries to catch a wild Pokémon.
17,potion,Potion,27,200,Restores 20 HP.
18,antidote,Antidote,30,200,Cures poison.
19,burn-heal,Burn Heal,30,300,Cures a burn.
20,ice-heal,Ice Heal,30,100,Cures freezing.
21,awakening,Awakening,30,100,Cures sleep.
22,paralyze-heal,Paralyze Heal,30,300,Cures paralysis.
23,full-restore,Full Restore,27,3000,Restores HP to full and cures any status ailment and confusion.
24,max-potion,Max Potion,27,2500,Restores HP to full.
25,hyper-potion,Hyper Potion,27,1500,Restores 200 HP.
26,super-potion,Super Potion,27,700,Restores 50 HP.
27,full-heal,Full Heal,30,400,Cures any status ailment and confusion.
28,revive,Revive,29,2000,Revives with half HP.
29,max-revive,Max Revive,29,4000,Revives with full HP.
30,fresh-water,Fresh Water,27,200,Restores 50 HP.
31,soda-pop,Soda Pop,27,300,Restores 60 HP.
