id,move_id,version_group_id,flavor_text
1,1,3,"Pounds with fore­
legs or tail."
2,1,4,"Pounds with fore­
legs or tail."
3,1,5,"Pounds the foe with
forelegs or tail."
4,1,6,"Pounds the foe with
forelegs or tail."
5,1,7,"A physical attack
delivered with a
long tail or a
foreleg, etc."
6,1,8,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
7,1,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
8,1,10,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
9,1,11,"The target is physically pounded with
a long tail or a foreleg, etc."
10,1,14,"The target is physically pounded with
a long tail or a foreleg, etc."
11,1,15,"The target is physically pounded with
a long tail, a foreleg, or the like."
12,1,16,"The target is physically pounded with
a long tail, a foreleg, or the like."
13,1,17,"The target is physically pounded with a long tail, a
foreleg, or the like."
14,1,18,"The target is physically pounded with a long tail, a
foreleg, or the like."
15,2,3,"Has a high criti­
cal hit ratio."
16,2,4,"Has a high criti­
cal hit ratio."
17,2,5,"A chopping attack with a
high critical-hit ratio."
18,2,6,"A chopping attack with a
high critical-hit ratio."
19,2,7,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio."
20,2,8,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio.
"
21,2,9,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio.
"
22,2,10,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio.
"
23,2,11,"The target is attacked with a sharp chop.
Critical hits land more easily."
24,2,14,"The target is attacked with a sharp chop.
Critical hits land more easily."
25,2,15,"The target is attacked with a sharp chop.
Critical hits land more easily."
26,2,16,"The target is attacked with a sharp chop.
Critical hits land more easily."
27,2,17,"The target is attacked with a sharp chop. Critical
hits land more easily."
28,2,18,"The target is attacked with a sharp chop. Critical
hits land more easily."
29,3,3,"Repeatedly slaps
2-5 times."
30,3,4,"Repeatedly slaps
2-5 times."
31,3,5,"Repeatedly slaps the foe
2 to 5 times."
32,3,6,"Repeatedly slaps the foe
2 to 5 times."
33,3,7,"The foe is slapped
repeatedly, back
and forth, two to
five times."
34,3,8,"The foe is slapped
repeatedly, back
and forth, two to
five times in a row.
"
35,3,9,"The foe is slapped
repeatedly, back
and forth, two to
five times in a row.
"
36,3,10,"The foe is slapped
repeatedly, back
and forth, two to
five times in a row.
"
37,3,11,"The target is slapped repeatedly, back
and forth, two to five times in a row."
38,3,14,"The target is slapped repeatedly, back
and forth, two to five times in a row."
39,3,15,"The target is slapped repeatedly, back
and forth, two to five times in a row."
40,3,16,"The target is slapped repeatedly, back
and forth, two to five times in a row."
41,3,17,"The target is slapped repeatedly, back and forth,
two to five times in a row."
42,3,18,"The target is slapped repeatedly, back and forth,
two to five times in a row."
43,4,3,"Repeatedly punches
2-5 times."
44,4,4,"Repeatedly punches
2-5 times."
45,4,5,"Repeatedly punches the foe
2 to 5 times."
46,4,6,"Repeatedly punches the foe
2 to 5 times."
47,4,7,"The foe is hit with
a flurry of punches
that strike two to
five times."
48,4,8,"The foe is hit with
a flurry of punches
that strike two to
five times in a row.
"
49,4,9,"The foe is hit with
a flurry of punches
that strike two to
five times in a row.
"
50,4,10,"The foe is hit with
a flurry of punches
that strike two to
five times in a row.
"
51,4,11,"The target is hit with a flurry of punches
that strike two to five times in a row."
52,4,14,"The target is hit with a flurry of punches
that strike two to five times in a row."
53,4,15,"The target is hit with a flurry of punches
that strike two to five times in a row."
54,4,16,"The target is hit with a flurry of punches
that strike two to five times in a row."
55,4,17,"The target is hit with a flurry of punches that strike
two to five times in a row."
56,4,18,"The target is hit with a flurry of punches that strike
two to five times in a row."
57,5,3,"A powerful punch
thrown very hard."
58,5,4,"A powerful punch
thrown very hard."
59,5,5,"A strong punch thrown with
incredible power."
60,5,6,"A strong punch thrown with
incredible power."
61,5,7,"The foe is slugged
by a punch thrown
with muscle-packed
power."
62,5,8,"The foe is slugged
by a punch thrown
with muscle-packed
power.
"
63,5,9,"The foe is slugged
by a punch thrown
with muscle-packed
power.
"
64,5,10,"The foe is slugged
by a punch thrown
with muscle-packed
power.
"
65,5,11,"The target is slugged by a punch thrown
with muscle-packed power."
66,5,14,"The target is slugged by a punch thrown
with muscle-packed power."
67,5,15,"The target is slugged by a punch thrown
with muscle-packed power."
68,5,16,"The target is slugged by a punch thrown
with muscle-packed power."
69,5,17,"The target is slugged by a punch thrown with
muscle-packed power."
70,5,18,"The target is slugged by a punch thrown with
muscle-packed power."
71,6,3,"Throws coins. Gets
them back later."
72,6,4,"Throws coins. Gets
them back later."
73,6,5,"Throws coins at the foe.
Money is recovered after."
74,6,6,"Throws coins at the foe.
Money is recovered after."
75,6,7,"Numerous coins are
hurled at the foe.
Money is earned
after battle."
76,6,8,"Numerous coins are
hurled at the foe to
inflict damage.
Money is earned
after battle."
77,6,9,"Numerous coins are
hurled at the foe to
inflict damage.
Money is earned
after battle."
78,6,10,"Numerous coins are
hurled at the foe to
inflict damage.
Money is earned
after battle."
79,6,11,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
80,6,14,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
81,6,15,"Numerous coins are hurled at the
target to inflict damage.
Money is earned after the battle."
