idd,species_id,version_id,flavor_text
1,1,1,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
2,1,2,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
3,1,3,"It can go for days
without eating a
single morsel.In the bulb on
its back, it
stores energy."
4,1,4,"The seed on its
back is filled
with nutrients.The seed grows
steadily larger as
its body grows."
5,1,5,"It carries a seed
on its back right
from birth. As itgrows older, the
seed also grows
larger."
6,1,6,"While it is young,
it uses the
nutrients that arestored in the
seeds on its back
in order to grow."
7,1,7,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
8,1,8,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
9,1,9,"BULBASAUR can be seen napping in bright
sunlight. There is a seed on its back.
By soaking up the sun’s rays, the seed
grows progressively larger."
10,1,10,"There is a plant seed on its back right
from the day this POKéMON is born.
The seed slowly grows larger."
11,1,11,"A strange seed was planted on its back at
birth. The plant sprouts and grows with
this POKéMON."
12,1,12,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
13,1,13,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
14,1,14,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
15,1,15,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows."
16,1,16,"It carries a seed on its back right
from birth. As it grows older, the
seed also grows larger."
17,1,17,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
18,1,18,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
19,1,21,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
20,1,22,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
21,1,23,"A strange seed was planted on its back at birth.
The plant sprouts and grows with this Pokémon."
22,1,24,"For some time after its birth, it grows by gaining
nourishment from the seed on its back."
23,1,25,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
24,1,26,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
25,2,1,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
26,2,2,"When the bulb on
its back grows
large, it appearsto lose the
ability to stand
on its hind legs."
27,2,3,"The bulb on its
back grows by
drawing energy.It gives off an
aroma when it is
ready to bloom."
28,2,4,"Exposure to sun­
light adds to its
strength. Sunlightalso makes the bud
on its back grow
larger."
29,2,5,"If the bud on its
back starts to
smell sweet, itis evidence that
the large flower
will soon bloom."
30,2,6,"The bulb on its
back grows as it
absorbs nutrients.The bulb gives off
a pleasant aroma
when it blooms."
31,2,7,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
32,2,8,"There is a bud on this POKéMON’s back.
To support its weight, IVYSAUR’s legs
and trunk grow thick and strong.If it starts spending more time lying
in the sunlight, it’s a sign that the
bud will bloom into a large flower soon."
33,2,9,"To support its bulb, IVYSAUR’s legs
grow sturdy. If it spends more time lying in
the sunlight, the bud will soon bloom into
a large flower."
34,2,10,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said
to blossom into a large flower."
35,2,11,"When the bulb on its back grows large, it
appears to lose the ability to stand on
its hind legs."
36,2,12,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
37,2,13,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
38,2,14,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
39,2,15,"Exposure to sunlight adds to its
strength. Sunlight also makes the
bud on its back grow larger."
40,2,16,"If the bud on its back starts to
smell sweet, it is evidence that
the large flower will soon bloom."
41,2,17,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
42,2,18,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
43,2,21,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
44,2,22,"When the bud on its back starts
swelling, a sweet aroma wafts to
indicate the flower’s coming bloom."
45,2,23,"There is a plant bulb on its back.
When it absorbs nutrients, the bulb is said to
blossom into a large flower."
46,2,24,"When the bud on its back starts swelling, a sweet
aroma wafts to indicate the flower’s coming bloom."
47,2,25,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
