id,pokemon_id,stat_id,base_stat,effort,order
1,1,1,45,0,1
2,1,2,49,0,2
3,1,3,49,0,3
4,1,4,65,1,5
5,1,5,65,0,6
6,1,6,45,0,4
7,2,1,60,0,1
8,2,2,62,0,2
9,2,3,63,0,3
10,2,4,80,1,5
11,2,5,80,1,6
12,2,6,60,0,4
13,3,1,80,0,1
14,3,2,82,0,2
15,3,3,83,0,3
16,3,4,100,2,5
17,3,5,100,1,6
18,3,6,80,0,4
19,4,1,39,0,1
20,4,2,52,0,2
21,4,3,43,0,3
22,4,4,60,0,5
23,4,5,50,0,6
24,4,6,65,1,4
25,5,1,58,0,1
26,5,2,64,0,2
27,5,3,58,0,3
28,5,4,80,1,5
29,5,5,65,0,6
30,5,6,80,1,4
31,6,1,78,0,1
32,6,2,84,0,2
33,6,3,78,0,3
34,6,4,109,3,5
35,6,5,85,0,6
36,6,6,100,0,4
37,7,1,44,0,1
38,7,2,48,0,2
39,7,3,65,1,3
40,7,4,50,0,5
41,7,5,64,0,6
42,7,6,43,0,4
43,8,1,59,0,1
44,8,2,63,0,2
45,8,3,80,1,3
46,8,4,65,0,5
47,8,5,80,1,6
48,8,6,58,0,4
49,9,1,79,0,1
50,9,2,83,0,2
51,9,3,100,0,3
52,9,4,85,0,5
53,9,5,105,3,6
54,9,6,78,0,4
55,10,1,45,1,1
56,10,2,30,0,2
57,10,3,35,0,3
58,10,4,20,0,5
59,10,5,20,0,6
60,10,6,45,0,4
61,11,1,50,0,1
62,11,2,20,0,2
63,11,3,55,2,3
64,11,4,25,0,5
65,11,5,25,0,6
66,11,6,30,0,4
67,12,1,60,0,1
68,12,2,45,0,2
69,12,3,50,0,3
70,12,4,90,2,5
71,12,5,80,1,6
72,12,6,70,0,4
73,13,1,40,0,1
74,13,2,35,0,2
75,13,3,30,0,3
76,13,4,20,0,5
77,13,5,20,0,6
78,13,6,50,1,4
79,14,1,45,0,1
80,14,2,25,0,2
81,14,3,50,2,3
82,14,4,25,0,5
83,14,5,25,0,6
84,14,6,35,0,4
85,15,1,65,0,1
86,15,2,90,2,2
87,15,3,40,0,3
88,15,4,45,0,5
89,15,5,80,1,6
90,15,6,75,0,4
91,16,1,40,0,1
92,16,2,45,0,2
93,16,3,40,0,3
94,16,4,35,0,5
95,16,5,35,0,6
96,16,6,56,1,4
97,17,1,63,0,1
98,17,2,60,0,2
99,17,3,55,0,3
100,17,4,50,0,5
101,17,5,50,0,6
102,17,6,71,2,4
103,18,1,83,0,1
104,18,2,80,0,2
105,18,3,75,0,3
106,18,4,70,0,5
107,18,5,70,0,6
108,18,6,101,3,4
109,19,1,30,0,1
110,19,2,56,0,2
111,19,3,35,0,3
112,19,4,25,0,5
113,19,5,35,0,6
114,19,6,72,1,4
115,20,1,55,0,1
116,20,2,81,0,2
117,20,3,60,0,3
118,20,4,50,0,5
119,20,5,70,0,6
120,20,6,97,2,4
121,21,1,40,0,1
122,21,2,60,0,2
123,21,3,30,0,3
124,21,4,31,0,5
125,21,5,31,0,6
126,21,6,70,1,4
127,22,1,65,0,1
128,22,2,90,0,2
129,22,3,65,0,3
130,22,4,61,0,5
131,22,5,61,0,6
132,22,6,100,2,4
133,23,1,35,0,1
134,23,2,60,1,2
135,23,3,44,0,3
136,23,4,40,0,5
137,23,5,54,0,6
138,23,6,55,0,4
139,24,1,60,0,1
140,24,2,95,2,2
141,24,3,69,0,3
142,24,4,65,0,5
143,24,5,79,0,6
144,24,6,80,0,4
145,25,1,35,0,1
146,25,2,55,0,2
147,25,3,40,0,3
148,25,4,50,0,5
149,25,5,50,0,6
150,25,6,90,2,4
151,26,1,60,0,1
152,26,2,90,0,2
153,26,3,55,0,3
154,26,4,90,0,5
155,26,5,80,0,6
156,26,6,110,3,4
157,27,1,50,0,1
158,27,2,75,0,2
159,27,3,85,1,3
160,27,4,20,0,5
161,27,5,30,0,6
162,27,6,40,0,4
163,28,1,75,0,1
164,28,2,100,0,2
165,28,3,110,2,3
166,28,4,45,0,5
167,28,5,55,0,6
168,28,6,65,0,4
169,29,1,55,1,1
170,29,2,47,0,2
171,29,3,52,0,3
172,29,4,40,0,5
173,29,5,40,0,6
174,29,6,41,0,4
175,30,1,70,2,1
176,30,2,62,0,2
177,30,3,67,0,3
178,30,4,55,0,5
179,30,5,55,0,6
180,30,6,56,0,4
181,31,1,90,3,1
182,31,2,92,0,2
183,31,3,87,0,3
184,31,4,75,0,5
185,31,5,85,0,6
186,31,6,76,0,4
187,32,1,46,0,1
188,32,2,57,1,2
189,32,3,40,0,3
190,32,4,40,0,5
191,32,5,40,0,6
192,32,6,50,0,4
193,33,1,61,0,1
194,33,2,72,2,2
195,33,3,57,0,3
196,33,4,55,0,5
197,33,5,55,0,6
198,33,6,65,0,4
199,34,1,81,0,1
200,34,2,102,3,2
201,34,3,77,0,3
202,34,4,85,0,5
203,34,5,75,0,6
204,34,6,85,0,4
205,35,1,70,2,1
206,35,2,45,0,2
207,35,3,48,0,3
208,35,4,60,0,5
209,35,5,65,0,6
210,35,6,35,0,4
211,36,1,95,3,1
212,36,2,70,0,2
213,36,3,73,0,3
214,36,4,95,0,5
215,36,5,90,0,6
216,36,6,60,0,4
217,37,1,38,0,1
218,37,2,41,0,2
219,37,3,40,0,3
220,37,4,50,0,5
221,37,5,65,0,6
222,37,6,65,1,4
223,38,1,73,0,1
224,38,2,76,0,2
225,38,3,75,0,3
226,38,4,81,0,5
227,38,5,100,1,6
228,38,6,100,1,4
229,39,1,115,2,1
230,39,2,45,0,2
231,39,3,20,0,3
232,39,4,45,0,5
233,39,5,25,0,6
234,39,6,20,0,4
235,40,1,140,3,1
236,40,2,70,0,2
237,40,3,45,0,3
238,40,4,85,0,5
239,40,5,50,0,6
240,40,6,45,0,4
241,41,1,40,0,1
242,41,2,45,0,2
243,41,3,35,0,3
244,41,4,30,0,5
245,41,5,40,0,6
246,41,6,55,1,4
247,42,1,75,0,1
248,42,2,80,0,2
249,42,3,70,0,3
250,42,4,65,0,5
251,42,5,75,0,6
252,42,6,90,2,4
253,43,1,45,0,1
254,43,2,50,0,2
255,43,3,55,0,3
256,43,4,75,1,5
257,43,5,65,0,6
258,43,6,30,0,4
259,44,1,60,0,1
260,44,2,65,0,2
261,44,3,70,0,3
262,44,4,85,2,5
263,44,5,75,0,6
264,44,6,40,0,4
265,45,1,75,0,1
266,45,2,80,0,2
267,45,3,85,0,3
268,45,4,110,3,5
269,45,5,90,0,6
270,45,6,50,0,4
271,46,1,35,0,1
272,46,2,70,1,2
273,46,3,55,0,3
274,46,4,45,0,5
275,46,5,55,0,6
276,46,6,25,0,4
277,47,1,60,0,1
278,47,2,95,2,2
279,47,3,80,1,3
280,47,4,60,0,5
281,47,5,80,0,6
282,47,6,30,0,4
283,48,1,60,0,1
284,48,2,55,0,2
285,48,3,50,0,3
286,48,4,40,0,5
287,48,5,55,1,6
288,48,6,45,0,4
289,49,1,70,0,1
290,49,2,65,0,2
291,49,3,60,0,3
292,49,4,90,1,5
293,49,5,75,0,6
294,49,6,90,1,4
295,50,1,10,0,1
296,50,2,55,0,2
297,50,3,25,0,3
298,50,4,35,0,5
299,50,5,45,0,6
300,50,6,95,1,4
301,51,1,35,0,1
302,51,2,100,0,2
303,51,3,50,0,3
304,51,4,50,0,5
305,51,5,70,0,6
306,51,6,120,2,4
307,52,1,40,0,1
